Continent,Country,Population,Cases.New,Cases.Active,Cases.Critical,Cases.Recovered,Cases.1M_pop,Cases.Total,Deaths.New,Deaths.1M_pop,Deaths.Total,Tests.1M_pop,Tests.Total,Day,Time
Europe,Poland,37739785.0,+6,1062350.0,53.0,5335940.0,172707,6517920,,3170,119630.0,1027948,38794531.0,2023-07-07,2023-07-07T17:30:06+00:00
Europe,Lithuania,2661708.0,+3,381.0,,1311445.0,496492,1321518,,3641,9692.0,3931769,10465222.0,2023-07-07,2023-07-07T17:30:06+00:00
Asia,Vietnam,98953541.0,+57,937577.0,3.0,10640164.0,117438,11620947,,437,43206.0,867342,85826548.0,2023-07-07,2023-07-07T17:30:06+00:00
Asia,Philippines,112508994.0,+397,6637.0,162.0,4094138.0,37039,4167259,,591,66484.0,315520,35498885.0,2023-07-07,2023-07-07T17:30:06+00:00
Europe,Denmark,5834950.0,+5,86.0,4.0,3173458.0,545386,3182299,,1500,8755.0,22160238,129303879.0,2023-07-07,2023-07-07T17:30:06+00:00
Asia,Hong-Kong,7604299.0,+1102,6104.0,28.0,2893532.0,383133,2913455,,1817,13819.0,10011143,76127725.0,2023-07-07,2023-07-07T17:30:06+00:00
Europe,Czechia,10736784.0,+5,182.0,1.0,4599798.0,432419,4642791,,3987,42811.0,5330723,57234819.0,2023-07-07,2023-07-07T17:30:06+00:00
South-America,South-America,,+24,990296.0,10097.0,66485149.0,,68833139,,,1357694.0,,,2023-07-07,2023-07-07T17:30:05+00:00
Africa,Africa,,+4,485126.0,547.0,12087561.0,,12831493,,,258806.0,,,2023-07-07,2023-07-07T17:30:05+00:00
North-America,North-America,,,2374661.0,5945.0,123016875.0,,127029174,,,1637638.0,,,2023-07-07,2023-07-07T17:30:05+00:00
Oceania,Oceania,,+1,115418.0,69.0,14394010.0,,14538634,,,29206.0,,,2023-07-07,2023-07-07T17:30:05+00:00
Asia,Asia,,+1557,14783321.0,15097.0,201956901.0,,218288029,,,1547807.0,,,2023-07-07,2023-07-07T17:30:05+00:00
Europe,Europe,,+19,1804016.0,5511.0,245815297.0,,249686413,,,2067100.0,,,2023-07-07,2023-07-07T17:30:05+00:00
All,All,,+1577,20552838.0,37266.0,663756499.0,88675,691207603,0,885.0,6898266.0,,,2023-07-07,2023-07-07T17:30:05+00:00
